# file...... line2.csv
# date...... Wed Mar 20 13:02:44 2019
# user...... xiej204
# host...... (null)
# target.... underground_line 115
# trigger... (none)
# interval.. 1
# limit..... 1000
# timestamp,power_in_A.real,power_in_A.imag,power_in_B.real,power_in_B.imag,power_in_C.real,power_in_C.imag
2010-01-01 00:00:00 EST,+37247.2,+44371,+58975.3,+107.488,+83671.2,+40371.1
2010-01-01 00:00:01 EST,+37247.2,+44371,+58975.3,+107.49,+83671.2,+40371.1
2010-01-01 00:00:02 EST,+37247.2,+44371,+58975.3,+107.49,+83671.2,+40371.1
2010-01-01 00:00:03 EST,+37247.2,+44371,+58975.3,+107.49,+83671.2,+40371.1
2010-01-01 00:00:04 EST,+37247.2,+44371,+58975.3,+107.49,+83671.2,+40371.1
2010-01-01 00:00:05 EST,+37247.2,+44371,+58975.3,+107.49,+83671.2,+40371.1
2010-01-01 00:00:06 EST,+37247.2,+44371,+58975.3,+107.49,+83671.2,+40371.1
2010-01-01 00:00:07 EST,+37247.2,+44371,+58975.3,+107.49,+83671.2,+40371.1
2010-01-01 00:00:08 EST,+37247.2,+44371,+58975.3,+107.49,+83671.2,+40371.1
2010-01-01 00:00:09 EST,+37247.2,+44371,+58975.3,+107.49,+83671.2,+40371.1
2010-01-01 00:00:10 EST,+37247.2,+44371,+58975.3,+107.49,+83671.2,+40371.1
2010-01-01 00:00:11 EST,+37247.2,+44371,+58975.3,+107.49,+83671.2,+40371.1
2010-01-01 00:00:12 EST,+37247.2,+44371,+58975.3,+107.49,+83671.2,+40371.1
2010-01-01 00:00:13 EST,+37247.2,+44371,+58975.3,+107.49,+83671.2,+40371.1
2010-01-01 00:00:14 EST,+37247.2,+44371,+58975.3,+107.49,+83671.2,+40371.1
2010-01-01 00:00:15 EST,+37247.2,+44371,+58975.3,+107.49,+83671.2,+40371.1
2010-01-01 00:00:16 EST,+37247.2,+44371,+58975.3,+107.49,+83671.2,+40371.1
2010-01-01 00:00:17 EST,+37247.2,+44371,+58975.3,+107.49,+83671.2,+40371.1
2010-01-01 00:00:18 EST,+37247.2,+44371,+58975.3,+107.49,+83671.2,+40371.1
2010-01-01 00:00:19 EST,+37247.2,+44371,+58975.3,+107.49,+83671.2,+40371.1
2010-01-01 00:00:20 EST,+37247.2,+44371,+58975.3,+107.49,+83671.2,+40371.1
2010-01-01 00:00:21 EST,+37247.2,+44371,+58975.3,+107.49,+83671.2,+40371.1
2010-01-01 00:00:22 EST,+37436.8,+44378.8,+59650.2,+33.9801,+83816.8,+40916.2
2010-01-01 00:00:23 EST,+37436.8,+44378.8,+59650.2,+33.9831,+83816.8,+40916.2
2010-01-01 00:00:24 EST,+37436.8,+44378.8,+59650.2,+33.983,+83816.8,+40916.2
2010-01-01 00:00:25 EST,+37436.8,+44378.8,+59650.2,+33.983,+83816.8,+40916.2
2010-01-01 00:00:26 EST,+37436.8,+44378.8,+59650.2,+33.983,+83816.8,+40916.2
2010-01-01 00:00:27 EST,+37436.8,+44378.8,+59650.2,+33.9829,+83816.8,+40916.2
2010-01-01 00:00:28 EST,+37436.8,+44378.8,+59650.2,+33.983,+83816.8,+40916.2
2010-01-01 00:00:29 EST,+37436.8,+44378.8,+59650.2,+33.983,+83816.8,+40916.2
2010-01-01 00:00:30 EST,+37436.8,+44378.8,+59650.2,+33.9829,+83816.8,+40916.2
2010-01-01 00:00:31 EST,+37436.8,+44378.8,+59650.2,+33.983,+83816.8,+40916.2
2010-01-01 00:00:32 EST,+37247.2,+44371,+58975.3,+107.496,+83671.2,+40371.1
2010-01-01 00:00:33 EST,+37247.2,+44371,+58975.3,+107.49,+83671.2,+40371.1
2010-01-01 00:00:34 EST,+37247.2,+44371,+58975.3,+107.49,+83671.2,+40371.1
2010-01-01 00:00:35 EST,+37247.2,+44371,+58975.3,+107.49,+83671.2,+40371.1
2010-01-01 00:00:36 EST,+37247.2,+44371,+58975.3,+107.49,+83671.2,+40371.1
2010-01-01 00:00:37 EST,+37247.2,+44371,+58975.3,+107.49,+83671.2,+40371.1
2010-01-01 00:00:38 EST,+37247.2,+44371,+58975.3,+107.49,+83671.2,+40371.1
2010-01-01 00:00:39 EST,+37247.2,+44371,+58975.3,+107.49,+83671.2,+40371.1
2010-01-01 00:00:40 EST,+37247.2,+44371,+58975.3,+107.49,+83671.2,+40371.1
2010-01-01 00:00:41 EST,+37247.2,+44371,+58975.3,+107.49,+83671.2,+40371.1
2010-01-01 00:00:42 EST,+37247.2,+44371,+58975.3,+107.49,+83671.2,+40371.1
2010-01-01 00:00:43 EST,+37247.2,+44371,+58975.3,+107.49,+83671.2,+40371.1
2010-01-01 00:00:44 EST,+37247.2,+44371,+58975.3,+107.49,+83671.2,+40371.1
2010-01-01 00:00:45 EST,+37247.2,+44371,+58975.3,+107.49,+83671.2,+40371.1
2010-01-01 00:00:46 EST,+37247.2,+44371,+58975.3,+107.49,+83671.2,+40371.1
2010-01-01 00:00:47 EST,+37247.2,+44371,+58975.3,+107.49,+83671.2,+40371.1
2010-01-01 00:00:48 EST,+37247.2,+44371,+58975.3,+107.49,+83671.2,+40371.1
2010-01-01 00:00:49 EST,+37247.2,+44371,+58975.3,+107.49,+83671.2,+40371.1
2010-01-01 00:00:50 EST,+37247.2,+44371,+58975.3,+107.49,+83671.2,+40371.1
2010-01-01 00:00:51 EST,+37247.2,+44371,+58975.3,+107.49,+83671.2,+40371.1
2010-01-01 00:00:52 EST,+37247.2,+44371,+58975.3,+107.49,+83671.2,+40371.1
2010-01-01 00:00:53 EST,+37247.2,+44371,+58975.3,+107.49,+83671.2,+40371.1
2010-01-01 00:00:54 EST,+37247.2,+44371,+58975.3,+107.49,+83671.2,+40371.1
2010-01-01 00:00:55 EST,+37247.2,+44371,+58975.3,+107.49,+83671.2,+40371.1
2010-01-01 00:00:56 EST,+37247.2,+44371,+58975.3,+107.49,+83671.2,+40371.1
2010-01-01 00:00:57 EST,+37247.2,+44371,+58975.3,+107.49,+83671.2,+40371.1
2010-01-01 00:00:58 EST,+37247.2,+44371,+58975.3,+107.49,+83671.2,+40371.1
2010-01-01 00:00:59 EST,+37247.2,+44371,+58975.3,+107.49,+83671.2,+40371.1
2010-01-01 00:01:00 EST,+37247.2,+44371,+58975.3,+107.49,+83671.2,+40371.1
2010-01-01 00:01:01 EST,+37247.2,+44371,+58975.3,+107.49,+83671.2,+40371.1
