# file...... line3.csv
# date...... Wed Mar 20 13:02:44 2019
# user...... xiej204
# host...... (null)
# target.... underground_line 116
# trigger... (none)
# interval.. 1
# limit..... 1000
# timestamp,power_in_A.real,power_in_A.imag,power_in_B.real,power_in_B.imag,power_in_C.real,power_in_C.imag
2010-01-01 00:00:00 EST,+138971,+95064.8,+201004,+45529.3,+205868,+121211
2010-01-01 00:00:01 EST,+138971,+95064.8,+201004,+45529.3,+205868,+121211
2010-01-01 00:00:02 EST,+138971,+95064.8,+201004,+45529.3,+205868,+121211
2010-01-01 00:00:03 EST,+138971,+95064.8,+201004,+45529.3,+205868,+121211
2010-01-01 00:00:04 EST,+138971,+95064.8,+201004,+45529.3,+205868,+121211
2010-01-01 00:00:05 EST,+138971,+95064.8,+201004,+45529.3,+205868,+121211
2010-01-01 00:00:06 EST,+138971,+95064.8,+201004,+45529.3,+205868,+121211
2010-01-01 00:00:07 EST,+138971,+95064.8,+201004,+45529.3,+205868,+121211
2010-01-01 00:00:08 EST,+138971,+95064.8,+201004,+45529.3,+205868,+121211
2010-01-01 00:00:09 EST,+138971,+95064.8,+201004,+45529.3,+205868,+121211
2010-01-01 00:00:10 EST,+138971,+95064.8,+201004,+45529.3,+205868,+121211
2010-01-01 00:00:11 EST,+138971,+95064.8,+201004,+45529.3,+205868,+121211
2010-01-01 00:00:12 EST,+138971,+95064.8,+201004,+45529.3,+205868,+121211
2010-01-01 00:00:13 EST,+138971,+95064.8,+201004,+45529.3,+205868,+121211
2010-01-01 00:00:14 EST,+138971,+95064.8,+201004,+45529.3,+205868,+121211
2010-01-01 00:00:15 EST,+138971,+95064.8,+201004,+45529.3,+205868,+121211
2010-01-01 00:00:16 EST,+138971,+95064.8,+201004,+45529.3,+205868,+121211
2010-01-01 00:00:17 EST,+138971,+95064.8,+201004,+45529.3,+205868,+121211
2010-01-01 00:00:18 EST,+138971,+95064.8,+201004,+45529.3,+205868,+121211
2010-01-01 00:00:19 EST,+138971,+95064.8,+201004,+45529.3,+205868,+121211
2010-01-01 00:00:20 EST,+138971,+95064.8,+201004,+45529.3,+205868,+121211
2010-01-01 00:00:21 EST,+138971,+95064.8,+201004,+45529.3,+205868,+121211
2010-01-01 00:00:22 EST,+140267,+95240.8,+202550,+46181.1,+205801,+122311
2010-01-01 00:00:23 EST,+140267,+95240.8,+202550,+46181.1,+205801,+122311
2010-01-01 00:00:24 EST,+140267,+95240.8,+202550,+46181.1,+205801,+122311
2010-01-01 00:00:25 EST,+140267,+95240.8,+202550,+46181.1,+205801,+122311
2010-01-01 00:00:26 EST,+140267,+95240.8,+202550,+46181.1,+205801,+122311
2010-01-01 00:00:27 EST,+140267,+95240.8,+202550,+46181.1,+205801,+122311
2010-01-01 00:00:28 EST,+140267,+95240.8,+202550,+46181.1,+205801,+122311
2010-01-01 00:00:29 EST,+140267,+95240.8,+202550,+46181.1,+205801,+122311
2010-01-01 00:00:30 EST,+140267,+95240.8,+202550,+46181.1,+205801,+122311
2010-01-01 00:00:31 EST,+140267,+95240.8,+202550,+46181.1,+205801,+122311
2010-01-01 00:00:32 EST,+138971,+95064.9,+201004,+45529.3,+205868,+121211
2010-01-01 00:00:33 EST,+138971,+95064.8,+201004,+45529.3,+205868,+121211
2010-01-01 00:00:34 EST,+138971,+95064.8,+201004,+45529.3,+205868,+121211
2010-01-01 00:00:35 EST,+138971,+95064.8,+201004,+45529.3,+205868,+121211
2010-01-01 00:00:36 EST,+138971,+95064.8,+201004,+45529.3,+205868,+121211
2010-01-01 00:00:37 EST,+138971,+95064.8,+201004,+45529.3,+205868,+121211
2010-01-01 00:00:38 EST,+138971,+95064.8,+201004,+45529.3,+205868,+121211
2010-01-01 00:00:39 EST,+138971,+95064.8,+201004,+45529.3,+205868,+121211
2010-01-01 00:00:40 EST,+138971,+95064.8,+201004,+45529.3,+205868,+121211
2010-01-01 00:00:41 EST,+138971,+95064.8,+201004,+45529.3,+205868,+121211
2010-01-01 00:00:42 EST,+138971,+95064.8,+201004,+45529.3,+205868,+121211
2010-01-01 00:00:43 EST,+138971,+95064.8,+201004,+45529.3,+205868,+121211
2010-01-01 00:00:44 EST,+138971,+95064.8,+201004,+45529.3,+205868,+121211
2010-01-01 00:00:45 EST,+138971,+95064.8,+201004,+45529.3,+205868,+121211
2010-01-01 00:00:46 EST,+138971,+95064.8,+201004,+45529.3,+205868,+121211
2010-01-01 00:00:47 EST,+138971,+95064.8,+201004,+45529.3,+205868,+121211
2010-01-01 00:00:48 EST,+138971,+95064.8,+201004,+45529.3,+205868,+121211
2010-01-01 00:00:49 EST,+138971,+95064.8,+201004,+45529.3,+205868,+121211
2010-01-01 00:00:50 EST,+138971,+95064.8,+201004,+45529.3,+205868,+121211
2010-01-01 00:00:51 EST,+138971,+95064.8,+201004,+45529.3,+205868,+121211
2010-01-01 00:00:52 EST,+138971,+95064.8,+201004,+45529.3,+205868,+121211
2010-01-01 00:00:53 EST,+138971,+95064.8,+201004,+45529.3,+205868,+121211
2010-01-01 00:00:54 EST,+138971,+95064.8,+201004,+45529.3,+205868,+121211
2010-01-01 00:00:55 EST,+138971,+95064.8,+201004,+45529.3,+205868,+121211
2010-01-01 00:00:56 EST,+138971,+95064.8,+201004,+45529.3,+205868,+121211
2010-01-01 00:00:57 EST,+138971,+95064.8,+201004,+45529.3,+205868,+121211
2010-01-01 00:00:58 EST,+138971,+95064.8,+201004,+45529.3,+205868,+121211
2010-01-01 00:00:59 EST,+138971,+95064.8,+201004,+45529.3,+205868,+121211
2010-01-01 00:01:00 EST,+138971,+95064.8,+201004,+45529.3,+205868,+121211
2010-01-01 00:01:01 EST,+138971,+95064.8,+201004,+45529.3,+205868,+121211
